$I (A)$	u$I (A)$	$V (V)$	u$V (V)$
0.1	0.014325649321071589	6.991465639761399	1.1104934429516256
0.45000000000000007	0.013045956858499987	46.29620382419033	0.890130492539376
0.8	0.006174628445307307	76.92516958383362	1.451025732973183
1.1500000000000001	0.010054011685786127	116.44522597848169	1.2378960881805976
1.5000000000000002	0.007853472290746061	147.75558857137545	0.6501546188889854
1.8500000000000003	0.007301446692124998	187.3139259642583	0.8203957453608403
2.2	0.013412785355097566	220.11138204780613	1.1901003390354064
2.5500000000000003	0.010439819043899488	258.09714975286323	0.8843296927132026
2.9000000000000004	0.014902671551120343	287.7071415389927	0.6127799019760743
3.2500000000000004	0.005572718299008441	327.08036821146766	1.4176618790081763
3.6000000000000005	0.005978756055694598	359.75400183234547	1.0863654172221713
3.9500000000000006	0.011468307855306859	395.55757462716826	0.7528285262379067
4.3	0.006650313773219603	430.97915540733374	1.0410360897188617
4.65	0.008498604919453815	466.91977579205957	0.5175774094183757
5.0	0.012149331016299173	499.61420825168545	1.0401307229293
