x(rad)	ux(rad)	y()	uy()
-0.6	0.023972854165232135	-0.5804479948303891	0.05500793974621474
-0.5499999999999999	0.016391477766564577	-0.48070662350279453	0.06945558034117266
-0.5	0.017418874256169267	-0.5379072443560572	0.1448372495033686
-0.44999999999999996	0.0210449997229254	-0.272010049605906	0.08158136185567283
-0.4	0.02212514430440351	-0.19845626439314049	0.09724290944760944
-0.35	0.017523885425605935	-0.09258371872818111	0.14397867642874995
-0.3	0.013660524733101897	-0.24076490626995994	0.06463697432563015
-0.25	0.023841342250812095	0.00129002234390739	0.07777600775557739
-0.2	0.010378815078115998	0.10132859262123863	0.09184517357809775
-0.15000000000000002	0.01614439832598103	0.1401775878929087	0.05318000584570191
-0.10000000000000003	0.021416110921093037	0.1675711139483127	0.14557427097891093
-0.050000000000000044	0.023855675608751466	0.3483718355151258	0.13003466167544767
0.0	0.020183233749017017	0.6980820596445461	0.07053986082661964
0.04999999999999993	0.016370338016148997	0.6782774844518153	0.13697880187115807
0.09999999999999998	0.02001176902909465	0.6368127961511499	0.1417554094779645
0.1499999999999999	0.028821322836010577	0.7627231877481068	0.09551540861468867
0.19999999999999996	0.015788038916780864	1.0376888516732432	0.09113271524625886
0.25	0.025584806487833706	1.0713453238757926	0.1017908415637385
0.29999999999999993	0.028392038335468626	1.2625266133684405	0.06212840800560425
0.35	0.02522136703744099	1.3870274944563588	0.09743069735833
0.3999999999999999	0.019056094189221287	1.564517309756488	0.13660478812505905
0.44999999999999984	0.019797267614506592	1.747870529002981	0.09558751180768686
0.4999999999999999	0.02383051932921909	1.8320482167019976	0.07184411479391595
0.5499999999999999	0.013331965845292091	2.1584804324394855	0.14294802676441876
0.6	0.01119155997047588	2.4812948974438678	0.1390765124565607
