$I (W/m^2)$	u$I (W/m^2)$	$L (dB)$	u$L (dB)$
1.0	1.0922988233105242	-0.24459724351491824	0.3622644491438558
8.071428571428571	0.6456237126960329	20.8629582959298	0.40406499131655005
15.142857142857142	0.5776373988131163	27.097542816940965	0.27765131042150015
22.214285714285715	0.9515961717983453	31.934041862630497	0.3451031389807854
29.285714285714285	0.5667283542625956	34.27216797703145	0.3060319934575012
36.357142857142854	1.0233898291715002	35.88288419803694	0.3815265729283337
43.42857142857143	0.5664956364221713	37.67423634717077	0.3136919244632673
50.5	0.6696507705090119	39.91787762107	0.27293515866757123
57.57142857142857	1.0121795800271154	40.527118061101866	0.3021575434948376
64.64285714285714	0.7797695654982522	41.29485023330993	0.32461264433465115
71.71428571428571	1.2362307549964735	42.73459221652365	0.4149031650508609
78.78571428571428	1.4800567688170183	43.70722963966295	0.3846606254552195
85.85714285714286	0.788196258265091	44.11024279536962	0.3288419637581137
92.92857142857143	1.0266484141832106	44.25785919641407	0.4005520401168413
100.0	1.4746373033108862	46.398392103055095	0.17287923389148788
