dose(mg)	udose(mg)	response()	uresponse()
-2.0	0.09018929285134933	0.021349845437670878	0.019356964559576972
-1.6551724137931034	0.09599717050974424	0.03445418332472178	0.014454917433118435
-1.3103448275862069	0.1327946344569468	0.0351332625078338	0.014217879588344189
-0.9655172413793103	0.1474829686507193	0.002081569389234421	0.02822040027479468
-0.6206896551724137	0.1302683452745243	0.05002247129818823	0.020493071691721057
-0.2758620689655171	0.07924304988038552	0.06463828273803869	0.018799001263720253
0.06896551724137945	0.10011267601385174	0.12610620302919145	0.02686692199667165
0.4137931034482758	0.1372139486319657	0.06563424516073468	0.01471887070250735
0.7586206896551726	0.1277038572984821	0.16000172911442206	0.02008046235302599
1.1034482758620694	0.08099370323826786	0.17084013146698693	0.010306995651239112
1.4482758620689657	0.1305680870868588	0.23831658207610293	0.02309279955412802
1.793103448275862	0.10969274524316809	0.29004815627678676	0.011060237798706907
2.137931034482759	0.11593122047264832	0.3629970202134446	0.026398866257877157
2.4827586206896557	0.1296908636704076	0.38833786036528806	0.01681267285049843
2.8275862068965516	0.07966445797505994	0.4324435414863176	0.026063906551320494
3.1724137931034484	0.1127197479639134	0.5399065659164731	0.01822027455520984
3.517241379310345	0.07683840868193628	0.6234979003463168	0.01029679716888129
3.862068965517242	0.11616258490073927	0.6185871785239604	0.013256545714807761
4.206896551724139	0.1132269954818843	0.7058247650246147	0.01255851837040733
4.551724137931035	0.0921467685078485	0.7528354015484646	0.013294460659618408
4.8965517241379315	0.09297650393583486	0.8364457833027917	0.02462144490574726
5.241379310344828	0.08918557176280809	0.8047145542132998	0.029160641575729354
5.586206896551724	0.11875158762075476	0.8976281844502823	0.012264400212522713
5.931034482758621	0.09589128206836961	0.9099405726392588	0.023397393525659248
6.275862068965518	0.12693165101496828	0.8983352407874614	0.019614088977700582
6.620689655172415	0.13047905933291531	0.9373982247649014	0.014735165771117175
6.965517241379311	0.07974479305573223	0.9649208425473947	0.0235252360250182
7.310344827586208	0.053084084753603246	0.9382967233021892	0.021608111134364536
7.655172413793103	0.07746346619062056	0.9509449970768422	0.012345296903066126
8.0	0.10113948755109889	0.9995818777217749	0.02705246273467974
