$V (L)$,u$V (L)$,$P (kPa)$,u$P (kPa)$
1.0,0.0751204205534557,100.23860465672922,7.2589085544714145
1.6428571428571428,0.11048297611450916,61.948454128584665,4.387980000158048
2.2857142857142856,0.07781958185570878,43.260268462973436,1.139915756830903
2.928571428571429,0.13612484794436436,34.537473067319695,1.012189588113415
3.5714285714285716,0.10352253510999343,27.015375212751042,1.348559377764242
4.214285714285714,0.10008064991811183,24.146407497273326,1.5391076272423212
4.857142857142858,0.0874741244593639,21.460976538451522,1.1062238172131706
5.5,0.06458179522492154,18.388137796110637,0.6229751598288759
6.142857142857143,0.06631390136163083,16.40182690790442,1.2024743383438912
6.7857142857142865,0.12912717354264763,14.211618741494682,0.7636113497023628
7.428571428571429,0.14987296532577485,13.57640760789033,0.351266134607137
8.071428571428573,0.10165481881088659,12.609889532036155,0.43257464272573487
8.714285714285715,0.11146554434839975,11.67184835726648,0.3594826975873466
9.357142857142858,0.08424850625946717,11.051788373559297,0.7862088618125245
10.0,0.14346524701310556,9.814322806320668,0.554749430032288
