$v (\frac{m}{s})$	u$v (\frac{m}{s})$	$P (kPa)$	u$P (kPa)$
0.5	0.13506290562826523	17.3793037085187	0.4960521812499193
0.7368421052631579	0.10162063071729929	19.753337666941754	0.47897922047472447
0.9736842105263157	0.06108207437865381	23.851211926975513	0.28170788939798325
1.2105263157894737	0.056343226917762085	26.2486084269945	0.49451633213725305
1.4473684210526314	0.06969296911682632	26.077201795017352	0.6387577184106538
1.6842105263157894	0.06067078274357841	29.851330708737663	0.4812835823967427
1.9210526315789473	0.10089693204592977	31.627387979801096	0.3881698754362048
2.1578947368421053	0.10357579047688803	34.6009746266031	0.6264967781249315
2.394736842105263	0.1262253520337998	33.61862432298814	0.6013241853193693
2.631578947368421	0.12184805280612317	34.00647442646644	0.7177278670250145
2.8684210526315788	0.10468938835307746	37.06859728901351	0.4602523857549154
3.1052631578947367	0.07514080095025165	38.160351973975736	0.663602089619127
3.3421052631578947	0.11664338971910308	39.45385403513613	0.38824359012975523
3.5789473684210527	0.09926335682753863	37.85426367235398	0.3078391237458981
3.81578947368421	0.052328274279211655	38.65343111790397	0.5455796909816264
4.052631578947368	0.10218033910626598	38.70765324435842	0.610214476017145
4.289473684210526	0.11925745343901545	38.35797666710676	0.3101769623762196
4.526315789473684	0.14768671749601883	37.01633085990378	0.33005514087634635
4.763157894736842	0.07154082584924241	35.99943341642707	0.6545905976114401
5.0	0.06377467115624964	35.55975371648374	0.2916996486562654
