F(N),uF(N),a(m/s^2),ua(m/s^2)
1.0,0.1086503871299013,3.0981901209250324,0.21027123802578673
1.6428571428571428,0.06028007884650129,5.963886658390839,0.3213260644776185
2.2857142857142856,0.08563621982942979,8.172386766084804,0.26745280707432384
2.928571428571429,0.12894001953208978,10.360187473939044,0.2841313876750753
3.5714285714285716,0.08407321901701156,12.352552995136248,0.4158146589852765
4.214285714285714,0.08543735910689121,14.718426111294443,0.32839511276399136
4.857142857142858,0.09742130204431984,17.1971104515109,0.17883604770477024
5.5,0.14273133612461286,19.13140524515815,0.3324845719457836
6.142857142857143,0.1297823871938461,21.318212652643137,0.3089838900677563
6.7857142857142865,0.14549333908311862,23.892298645281,0.15879347023534893
7.428571428571429,0.14304816154770184,25.66333229387858,0.4208864622457664
8.071428571428573,0.09442821049168963,28.492263963900346,0.44195503035328043
8.714285714285715,0.07010726278135324,30.72832861619367,0.3229970084316202
9.357142857142858,0.09355412441684832,33.0914762897524,0.3899676978770101
10.0,0.14058298335702243,35.05212170287883,0.27516519690383656
