t(s)	ut(s)	y(cm)	uy(cm)
0.0	0.14766741060014146	2.9421014599577777	0.07049155245767012
0.43332312463307493	0.09768040281875964	3.298972515789647	0.14357974630730233
0.8666462492661499	0.13491096667066893	2.885949886071024	0.06293077365701315
1.2999693738992248	0.11761417827552194	2.314064943909416	0.05760386809086761
1.7332924985322997	0.08387920535328325	1.8916000252150382	0.07017953711186031
2.1666156231653746	0.06133465385190478	1.670071560772693	0.11887932230124132
2.5999387477984497	0.055683517095036376	0.6403596860693295	0.10346647721758996
3.0332618724315243	0.08424191696994403	0.07147129295388653	0.13250467792122744
3.4665849970645994	0.10539777168414191	-0.45863048418026786	0.08549481488210758
3.8999081216976745	0.09885937618367405	-1.214177754731012	0.08559483556625029
4.333231246330749	0.0645062268645134	-2.048689657360445	0.14685098233725039
4.766554370963824	0.05095252640635244	-2.3102435528279694	0.08806520750585126
5.199877495596899	0.10504884272124182	-2.7271826241867387	0.14987511064654593
5.6332006202299745	0.11888263856978194	-2.8279160736400932	0.11738446851186374
6.066523744863049	0.07541223863442555	-2.8299784436519304	0.07962616928736238
6.499846869496124	0.13912629359003814	-2.9555312922688954	0.11816650864345957
6.933169994129199	0.09538742837929842	-2.5956988373424528	0.06236158478798554
7.366493118762274	0.06376667845470585	-2.5643875140583914	0.08550120459922199
7.799816243395349	0.05946586234230136	-2.2214409309251097	0.09083280187346386
8.233139368028423	0.14143163881128	-1.6088760376688365	0.12823967821486
8.666462492661498	0.08305853201782236	-1.074418688859741	0.08843313942692847
9.099785617294573	0.12440793661591852	-0.27536984643136053	0.05820950321167653
9.533108741927649	0.0944798638111334	0.17474084976134574	0.1498086926009261
9.966431866560724	0.10270616899180904	1.2864780451633395	0.1099705306713902
10.399754991193799	0.08190103872214494	1.2463656937717262	0.10106967320957133
10.833078115826874	0.08040126220466116	1.8120252710995275	0.08616791133993917
11.266401240459949	0.082973043136857	2.0343826555145856	0.057935458291386924
11.699724365093022	0.12246831697708965	2.8404691877071757	0.11343307442929625
12.133047489726097	0.14011741237040531	2.8557484655577863	0.13381619441841336
12.566370614359172	0.07151188914532082	3.098250279686679	0.08157090338010761
