$x (m)$	u$x (m)$	$y (m)$	u$y (m)$	$E (J)$	u$E (J)$
0.0	0.13651826687712587	0.0	0.05404335324881252	0.9349207946974388	0.11159853137084651
0.20833333333333334	0.12485070290160233	0.125	0.050568476159257206	0.5664303601829345	0.1817565215471444
0.4166666666666667	0.09110264756450406	0.25	0.06636779831078646	0.9869575473089706	0.1136365158770844
0.625	0.14667624652167033	0.375	0.05115616890403135	1.444269046351016	0.18358507385833808
0.8333333333333334	0.08899918171570959	0.5	0.10716900765830353	2.1007684113857223	0.2078442261436049
1.0416666666666667	0.11918635558516201	0.625	0.07527672404570296	2.86493898611256	0.14071576973943511
1.25	0.06772928368261194	0.75	0.10487883880641863	4.000359868079203	0.22848676429233014
1.4583333333333335	0.1062160261683078	0.875	0.10875412427248038	5.524505578615093	0.2728858687764042
1.6666666666666667	0.06402386283544759	1.0	0.058659676760433196	6.766487695781114	0.16265008665024278
1.875	0.12994979286788977	1.125	0.06485028748140517	8.675073497809572	0.29187520216927837
2.0833333333333335	0.07473868575930752	1.25	0.1021735439672359	9.48555665684575	0.2333138275645854
2.291666666666667	0.11178737251815049	1.375	0.042683353325283724	12.15457869340139	0.21240122197650613
2.5	0.07446976829193898	1.5	0.05292366754830195	14.459147281615808	0.2839161952245721
2.7083333333333335	0.14384950476921826	1.625	0.06685996143557957	17.092576838552585	0.15857648069149644
2.916666666666667	0.05285360353264551	1.75	0.09769635688230635	18.639544242197253	0.1566515152712462
3.125	0.11119349408157561	1.875	0.04069556799543947	22.33000098610195	0.1533108332550363
3.3333333333333335	0.09473999198192402	2.0	0.06825344008610515	25.065835920880303	0.29960831167946855
3.541666666666667	0.11847450435303758	2.125	0.11026691616901779	28.346480534638225	0.26354878856546626
3.75	0.08425008788762295	2.25	0.040887922444111525	31.408622460316987	0.11510571064305307
3.9583333333333335	0.12164954196562994	2.375	0.11419990815877656	35.05154013191337	0.22545694409872039
4.166666666666667	0.1465386368999607	2.5	0.08614570211351587	39.14796019572512	0.1540737825141336
4.375	0.0894480097965387	2.625	0.07813831701174444	42.618431047644684	0.16094560878702385
4.583333333333334	0.10197387466819237	2.75	0.05051746437534608	47.234829936712735	0.14785992697182238
4.791666666666667	0.10243700966859767	2.875	0.05156401775156637	51.217578915731075	0.2542681350865723
5.0	0.07476598919305649	3.0	0.05768896778424247	56.200891422376756	0.10689326031008291
