x(mm)	ux(mm)	I(a.u.)	uI(a.u.)
0.0	0.09956119162958511	-0.18064351955857377	0.11611681572693834
0.2564102564102564	0.10678560793983177	0.05844315379199982	0.07497506597598216
0.5128205128205128	0.10558504761692289	-0.012074319364753065	0.09025294565016866
0.7692307692307692	0.14962710834522305	-0.06025130767460742	0.10827587627106122
1.0256410256410255	0.13133744487055043	-0.10029323445950981	0.0868841045891377
1.282051282051282	0.11349064121719561	-0.12045318736559259	0.09147227523002449
1.5384615384615383	0.12004717440030255	0.01891054169384617	0.07510659626739737
1.7948717948717947	0.08641262283264442	0.20029547585261162	0.10682254333841476
2.051282051282051	0.0823594489579059	0.34364244244253284	0.15317031298335823
2.3076923076923075	0.09467015575136785	0.49094494525136784	0.12356281504550543
2.564102564102564	0.07977725655688706	0.76591575734435	0.14267481715109212
2.8205128205128203	0.09652690448791731	1.0826013701383284	0.14397861489054686
3.0769230769230766	0.12981895986336545	1.279267591825356	0.06284548049394909
3.333333333333333	0.08706492199432234	1.8526268253514426	0.17860487318648
3.5897435897435894	0.06254693257638222	2.502802720971617	0.10920449331023052
3.846153846153846	0.14924906073853272	3.17983748917461	0.14951950763186989
4.102564102564102	0.14027608320865945	4.0470735395678386	0.11992029482760176
4.358974358974359	0.14745739507023187	4.337016987761311	0.06982869236111178
4.615384615384615	0.09324141793413417	4.7763199948372606	0.10441251820246
4.871794871794871	0.13062461326164299	4.949155777010965	0.09081273650923678
5.128205128205128	0.05191511759814689	5.029573337645501	0.0996913656428699
5.384615384615384	0.11477331714608824	4.833759468743654	0.17702347286003134
5.6410256410256405	0.13366949874190562	4.286919347378242	0.08749207843559104
5.897435897435897	0.06304112600028669	3.6314434600666567	0.12634428029046768
6.153846153846153	0.08306706711985344	3.3452059323160035	0.11120517274855549
6.41025641025641	0.1415444971165463	2.5890774458587895	0.1627175282358589
6.666666666666666	0.10456295994902311	1.9912696384409352	0.0855814580271595
6.9230769230769225	0.13961737938265734	1.3294483151783454	0.09558928063626515
7.179487179487179	0.1161521606821707	0.9521541066388385	0.06085185825528258
7.435897435897435	0.0654420726095709	0.5838891265447632	0.11402242571093732
7.692307692307692	0.056046550855124645	0.5266500607626208	0.11360394184267034
7.948717948717948	0.111603027284727	0.06701466090217933	0.1027272181293363
8.205128205128204	0.1432502141894344	0.25040905814854153	0.07693516002897015
8.46153846153846	0.09173043431200893	-0.06265584414780051	0.12996669160504132
8.717948717948717	0.10633315026404713	-0.018512197215430723	0.0977909708615163
8.974358974358974	0.12336416758173496	-0.049822955369883876	0.11750618539513566
9.23076923076923	0.13827870496692654	0.024794386754330846	0.17620931029520256
9.487179487179485	0.13976084293164437	0.11080828226064139	0.09629605553466261
9.743589743589743	0.09665197587253271	0.05142659107727632	0.15913808107776845
10.0	0.11397055703026576	0.09864974628417646	0.07604169058780123
