$T (K)$	u$T (K)$	$P (W/m^2)$	u$P (W/m^2)$
1.0	0.09541473491200993	5.5420318289981383e-08	6.8993742466427275e-09
1.3636363636363638	0.0629129249586846	2.0687963872875398e-07	2.6840686275880773e-08
1.7272727272727273	0.13553696319850977	5.420385614819802e-07	4.718708395286664e-08
2.090909090909091	0.14269678171463668	1.1666720820808162e-06	1.4328307789750215e-07
2.4545454545454546	0.14803641813497073	2.084659349794333e-06	1.9278242299067754e-07
2.8181818181818183	0.14903602906721244	3.866901263860968e-06	4.519348725684993e-07
3.1818181818181817	0.14896519136531083	6.1734376842800434e-06	6.559406686853016e-07
3.5454545454545454	0.1002332623828828	8.608163214611935e-06	6.138005831898286e-07
3.909090909090909	0.08542122415966777	1.3578810858700796e-05	1.5833337157305623e-06
4.272727272727273	0.10571065687821085	2.069694003600734e-05	1.5301110860252953e-06
4.636363636363637	0.122438029519025	2.514263863981077e-05	1.7334085300840162e-06
5.0	0.10565910561930658	3.2884729815458154e-05	3.262770660277787e-06
