$t (s)$	u$t (s)$	$h (m)$	u$h (m)$
0.0	0.14268750651632764	1.0916356646290701	0.1621774786541525
0.20833333333333334	0.06780569901143271	5.467029463578041	0.2460062864740273
0.4166666666666667	0.09454485513604982	8.927750571830922	0.11870851833967774
0.625	0.1341618055095846	12.108009212528717	0.12404848898181858
0.8333333333333334	0.09713028466478685	14.251272024093648	0.128325096430879
1.0416666666666667	0.08319026540728862	16.386868960936052	0.23529490818658924
1.25	0.14372983759938945	18.569896981399857	0.1377585931658061
1.4583333333333335	0.14365567787352693	20.247446717882372	0.15803917927265554
1.6666666666666667	0.1278563196084907	21.33210122606258	0.2539114923373028
1.875	0.0796381373571928	21.23520642445054	0.22040003565718996
2.0833333333333335	0.08469928759339618	21.431650876450735	0.20678683525406438
2.291666666666667	0.130587601614634	21.892526278708573	0.2861840985946398
2.5	0.1246631449503537	21.274240466790587	0.21197063303899483
2.7083333333333335	0.1267055264446616	19.44357778612015	0.26642984160026983
2.916666666666667	0.09746172721490505	18.491096899881843	0.19195941358993376
3.125	0.09386597917387131	16.251944628836664	0.2617381314950782
3.3333333333333335	0.1207858929496632	13.737953134743918	0.14576831816679878
3.541666666666667	0.1333385376525511	11.358636965812458	0.2860747630596674
3.75	0.08966144511699978	7.518375554057935	0.11473283306421632
3.9583333333333335	0.07301333228164658	3.783536648721564	0.23237118761332073
4.166666666666667	0.09656121264505674	-0.2987977553288744	0.2553141745934079
4.375	0.1221450509918528	-4.702016228327486	0.17355265915917717
4.583333333333334	0.1455195460935777	-10.083966863365118	0.2612427949436753
4.791666666666667	0.14383355675021325	-15.269679188092908	0.2546023436770116
5.0	0.06139636678659802	-20.87635839077612	0.14174129156391493
