$x (m)$	u$x (m)$	$A (mm)$	u$A (mm)$
0.0	0.06993827754423682	1.2805124284638596	0.11187248623224583
0.241660973353061	0.07145923101128866	0.36536891612267247	0.08092646617548818
0.483321946706122	0.025458414344282504	-0.4374107944482474	0.05605660395857231
0.724982920059183	0.05328850242883358	-1.405751457105617	0.04873707937447077
0.966643893412244	0.054559109206327824	-1.7310393293172885	0.06947594556545653
1.208304866765305	0.048028479496611036	-2.4574734507458316	0.103691524082343
1.449965840118366	0.04959071786274524	-2.424510454062424	0.08238748799846336
1.691626813471427	0.03230547907421665	-2.159009737473113	0.053895332257871936
1.933287786824488	0.05015817493312774	-1.6842390372600335	0.10509974890566373
2.174948760177549	0.04429376798151233	-0.9502772827632566	0.07611530644491771
2.41660973353061	0.05862732986404143	-0.05127554389323999	0.07896955599256779
2.658270706883671	0.059014731926837295	0.8503318604047228	0.08671861254113698
2.899931680236732	0.055088262641601285	1.612384144361176	0.1000246706241896
3.141592653589793	0.0515852461788705	2.0342259119061423	0.06439692709560274
3.383253626942854	0.05760902023758323	2.3930224830760065	0.08356460243363614
3.624914600295915	0.033770367965504894	2.455401831136851	0.08362945325109637
3.866575573648976	0.06860553834659003	2.0530372824825602	0.05120992943220692
4.108236547002037	0.027828899645741076	1.5074015222733923	0.07083716993144563
4.349897520355098	0.0324205808074701	0.6965527366921982	0.07080628667109412
4.591558493708159	0.04727553853307719	-0.17432363023323377	0.1003161406649846
4.83321946706122	0.059478028867993804	-1.1431590881461922	0.10020700986400177
5.074880440414281	0.059937137171581244	-1.735473921028106	0.10758448430957698
5.316541413767342	0.0438076884547291	-2.2997655005841215	0.08716557339378048
5.558202387120403	0.030556265295357567	-2.6559389119744283	0.07964231354411151
5.799863360473464	0.03839341754284745	-2.3375025766330184	0.0992286706519033
6.0415243338265245	0.025604998607699537	-2.059846620228276	0.07597648962284616
6.283185307179586	0.03164229339536411	-1.140601647102034	0.0683117137390553
6.524846280532647	0.04861168616380662	-0.4290268899286393	0.09224680711727345
6.766507253885708	0.03919435478712565	0.6280264612853667	0.06097825787215714
7.008168227238769	0.03973383891424129	1.4131958146056844	0.06371145584359497
7.24982920059183	0.062002174379584024	2.0879114962328735	0.10078561685269997
7.491490173944891	0.05732318083683485	2.2587325458814256	0.11224698378814249
7.733151147297952	0.07357778822896557	2.506916827043825	0.07272840995529302
7.974812120651013	0.043795205909643184	2.3403035212201626	0.09632992271537255
8.216473094004074	0.03725080425939261	1.6851889021044137	0.06217827690751524
8.458134067357134	0.05670827136956787	1.0491084667792212	0.07982775483311866
8.699795040710196	0.02608827700342055	-0.011605391471734325	0.07282107666081328
8.941456014063258	0.061075724240638896	-0.7909789796802305	0.049049744258443696
9.183116987416318	0.033014267772840666	-1.5877837644687531	0.09175660600691256
9.42477796076938	0.03186259721330165	-2.2178474450974908	0.06319999942544281
