C(mol/L)	uC(mol/L)	pH()	upH()
0.5	0.3325634519964858	-1.5771641177153488	0.15836614814913255
3.1052631578947367	0.5362673463982073	2.6923482545560065	0.10091116042710663
5.7105263157894735	0.4863417279209184	4.190925488841986	0.1137652762049108
8.31578947368421	0.6631075989225439	5.4434800494240205	0.19317076901002367
10.921052631578947	0.6775057263139524	6.112545600687255	0.21019365560050507
13.526315789473683	0.443581991011115	6.436510515104551	0.08830878254179103
16.13157894736842	0.6745182959672391	6.861214481091074	0.19426030819877455
18.736842105263158	0.5690983528995748	7.508962356659595	0.19502183863478384
21.342105263157894	0.5805728319597545	7.541483340287529	0.18645560238262127
23.94736842105263	0.5013123676011131	8.078763114201099	0.1046331517116006
26.552631578947366	0.5538508295498324	8.136658617034685	0.09199700183889786
29.157894736842103	0.5443277979225418	8.4438213234104	0.16539177553156664
31.763157894736842	0.47344610238785595	8.517659546701067	0.2215697407280473
34.368421052631575	0.7319111827345764	8.886243262158843	0.21058589362121238
36.973684210526315	0.27190282029291235	9.086684146926034	0.16438845600266166
39.57894736842105	0.6553337074312454	9.144604967488755	0.1538476224249944
42.18421052631579	0.3744091181736931	9.390416267008765	0.18655346556771957
44.78947368421053	0.6905295855619613	9.472828200603963	0.1665361906093438
47.39473684210526	0.2777390065955421	9.707266478039442	0.1690429448834274
50.0	0.5784279659116576	9.56556864520823	0.20505383938626986
