x(m)	ux(m)	y(m)	uy(m)
-2.0	0.07206204654897827	-7.268604489308395	1.080217527560668
-1.7894736842105263	0.06360257439174907	-5.821495374793575	0.6526024569378328
-1.5789473684210527	0.03185079623909565	-4.636029275706818	0.4532677099663868
-1.368421052631579	0.06239001471151637	-3.5479875413532183	0.46300139043100286
-1.1578947368421053	0.03180531377609405	-2.9200837011416363	0.3874397482008062
-0.9473684210526316	0.03262772940045123	-2.243220563562845	0.24422717165508326
-0.736842105263158	0.03524416060046009	-1.6199035009171376	0.18759413297900043
-0.5263157894736843	0.025788205143809258	-1.0801918268761417	0.12081575671860462
-0.3157894736842106	0.03860807742207144	-0.5657305909400557	0.06691744012641497
-0.10526315789473695	0.03399631035228703	-0.30269274462994566	0.03771603205386091
0.10526315789473673	0.044059529563797516	0.08833350720392884	0.009784809329549084
0.3157894736842106	0.03946391287327365	0.6336856394345912	0.07209904453772546
0.5263157894736841	0.06730611017008925	1.1448155351938705	0.08897525267211621
0.7368421052631575	0.035674499268402174	1.3987515665326617	0.11062770720346785
0.9473684210526314	0.0353629329142244	2.050373643860772	0.12530592623763745
1.1578947368421053	0.06107668597927941	2.7891309813937886	0.3781280492398744
1.3684210526315788	0.07005319487477937	3.7478582488625096	0.4706154026733314
1.5789473684210522	0.05932635130636818	4.4633047709902325	0.3166609705400714
1.789473684210526	0.048230759332675635	5.843529599134729	0.736505663861722
2.0	0.03485852443155366	7.377097950475123	1.0605022676773836
